Rank,Name,Breed,Gender,Age,End_Of_Watch,Day_Of_Week,Cause,Department,State,Tour,Weapon,Offender,Summary
K9,Vag,Mixed,Male,,1877-04-12,Thursday,Struck by streetcar,"Buffalo Police Department, New York",New York,5 years,,,"K9 Vag, aka Sergeant Vag, was struck and killed by a streetcar on Niagara Street, near Hudson Street, after being attacked by a stray dog.Vag had left the First Precinct with a police officer who had just left to go home and boarded the streetcar. Vag was following the streetcar when he was attacked.K9 Vag had been a vagrant dog who was adopted by the officers at the First Precinct five years earlier. He regularly accompanied officers as they walked their beats and was credited with several criminal apprehensions as well as assisting with the rescue of a drowning person."
K9,Danger,Russian Terrier,Male,,1896-06-09,Tuesday,Struck by train,"New York, Chicago and St. Louis Railroad Police Department, Railroad Police",United States,3 years,,,"K9 Danger was struck and killed by a train on the Lake Shore and Michigan Railway tracks near West 17th Street in Chicago, Illinois.Danger and his handler were patrolling the railroad yard when Danger suddenly started chasing a cat. The cat and Danger both ran in front of an oncoming train and were killed.K9 Danger had been rescued by his handler three years earlier after several boys tied a can to his tail. His handler, a special officer for the railroad, trained him to search for trespassers on the railroad property and the two patrolled the yards together for three years."
K9,Ollie,Unknown Breed,Male,,1909-08-26,Thursday,Struck by vehicle,"New York City Police Department, New York",New York,,Automobile,,"K9 Ollie was struck and killed by a hit-and-run driver near the intersection of Ocean Boulevard and 18th Avenue, in Brooklyn.Ollie and his handler were walking their beat when the vehicle struck him and then fled.Ollie was one of 15 police dogs assigned to the Parkville Station."
K9,Trooper,German Shepherd,Male,,1961-03-17,Friday,Assault,"Kansas City Police Department, Missouri",Missouri,,Blunt object,Shot and killed,"K9 Trooper died from injuries sustained when he was repeatedly struck on the back with a crowbar while protecting his handler.Trooper's handler had responded to a burglary call near the intersection of 27th Street and Indiana Avenue. While on scene the handler was attacked by two men and was being assaulted with a crowbar. Trooper lunged at one subject but was unable to make a steady hold due to thick clothing. Undeterred, Trooper continued to attack the man until grabbing hold of his face and pulling him backward.The takedown allowed his handler to draw his weapon and fatally shoot the man. The second subject struck K9 Trooper with the crowbar repeatedly, causing serious injuries and partial paralysis.K9 Trooper died from his injuries one week later."
K9,Caesar,German Shepherd,Male,,1961-04-10,Monday,Struck by vehicle,"Lancaster Police Department, Pennsylvania",Pennsylvania,10 months,,,"K9 Caesar was struck and killed by a vehicle while chasing a stray dog at Long's Park on Harrisburg Pike.K9 Caesar and his partner had gone to the park for exercise when he darted from his partner when he opened the back door of the police vehicle. As K9 Caesar returned to his partner after being called, he was struck by a vehicle and killed.K9 Caesar served with the Lancaster Police Department for ten months. He was buried with police honors at the K9 Training grounds where K9 Caesar trained with his handler on New Danville Pike."
K9,Baron,Australian Cattle Dog,Male,,1962-09-12,Wednesday,Assault,"Virginia State Police, Virginia",Virginia,,,,K9 Baron was assaulted and beaten to death by an escaped inmate he had been tracking in Powhatan County.Approximately 50 officers were searching for two convicts who had escaped from the Goochland State Prison Farm and stole a row boat to cross the James River. K9 Baron located one of the men and was killed after being attacked by the man.
K9,Lobo,German Shepherd,Male,5.0,1963-05-30,Thursday,Duty related illness,"Pittsburgh Bureau of Police, Pennsylvania",Pennsylvania,2 years,Poison,Unsolved,"K9 Lobo died moments after ingesting a hot dog laced with poison while on duty near the intersection of Lincoln Avenue and Lemington Avenue.K9 Lobo and his partner were on patrol in the City's Lincoln–Lemington–Belmar neighborhood when he discovered a bundle wrapped with pink tissue paper on the sidewalk. As K9 Lobo investigated the bundle he discovered a hot dog and ingested it. K9 Lobo's legs became stiff, and he died less than five minutes after eating the hot dog.During the investigation, it was determined that the hot dog had been hallowed-out in the middle and filled with poison. There had been over 30 deaths of dogs in the area with the same method in a year. It is unknown if any arrests were ever made.K9 Lobo served with the Pittsburgh Bureau of Police for two years."
K9,Sultan,German Shepherd,Male,2.0,1963-09-06,Friday,Fall,"San Francisco Police Department, California",California,10 months,,,"K9 Sultan was killed when he fell over a wall while searching for a missing person near the Golden Gate Bridge.The missing person's vehicle had been found in a parking lot near the bridge. K9 Sultan and his partner had been dispatched to the area to help locate the missing person. While K9 Sultan and his partner were searching on a walkway directly below the bridge, his partner leaned over a railing to look below them when K9 Sultan fearing for his partner's safety darted towards him and fell 60 feet below onto rocks at the bottom, killing him.K9 Sultan was one of the first K9s attached to the departments K9 Corps and served with the San Francisco Police Department for ten months."
K9,Donka,German Shepherd,Male,,1965-07-08,Thursday,Gunfire,"Stockton Police Department, California",California,"3 years, 6 months",Shotgun,,"K9 Donka was shot and killed by a sheriff's deputy while attempting to apprehend two California Youth Authority escapees near the intersection of Weber Avenue and Highway 99Officer and sheriff's deputies had pursued the two in a stolen vehicle until it crashed into a ditch. K9 Donka was released for an apprehension when both subjects fled on foot from the wrecked car. As K9 Donka ran toward the subject he collided with a fence and became disoriented. He turned and began to run toward a San Joaquin County Sheriff's Office deputy, who shot him with a shotgun to protect himself from being bit.Both subjects were taken into custody.K9 Donka had served with the Stockton Police Department for 3-1/2 years."
K9,Sam,German Shepherd,Male,,1965-02-27,Saturday,Gunfire (Inadvertent),"Chicago Police Department, Illinois",Illinois,,Officer's handgun,,"K9 Sam was shot and killed by an officer after K9 Sam bit another officer while searching the Reavis School at 834 East 50th Street. After other officers found the doors open, they began searching the building. K9 Sam was released into the building to conduct a search. Mistaking one of the officers as an intruder, K9 Sam attempted to apprehend him and bit the officer. Another officer shot K9 Sam in an attempt to save his partner. K9 Sam was assigned to the Chicago Police Department – Bureau of Operational Services, Patrol Division, Special Operations Group: Unit 058 – Canine Unit. "
